,BANK,IFSC,MICR,BRANCH,ADDRESS,CITY1,CITY2,STATE,STD CODE,PHONE,BANK NAME,OFFICE,DISTRICT,CITY,CITY 2,STD CODE2
0,ALLAHABAD BANK,ALLA0213625,700019052,SANTRAGACHI,"144,MOHIARY,G.I.P COLONY, JAGACCHA",HOWRAH,HOWRAH,WEST BENGAL,33.0,9051302546,0,0,0,0,0,0.0
1,ALLAHABAD BANK,ALLA0213624,509010003,CHEGUR BRANCH,"SY NO-112/114, CHEGUR VILLAGE NANDIGAMA MANDAL,RANGA REDDY ,DIST- RANGAREDDY, STATE-TELANGANA ,PIN- 509325",RANGAREDDY,CHEGUR VILLAGE,TELANGANA,8548.0,8019580052,0,0,0,0,0,0.0
2,ALLAHABAD BANK,ALLA0213615,0,KPK,"PALM ROAD, CIVIL LINES, NAGPUR, PIN-440001",NAGPUR,NAGPUR,MAHARASHTRA,712.0,2550742,0,0,0,0,0,0.0
3,ALLAHABAD BANK,ALLA0213613,0,KISAN PRAGATI KENDRA,"ALLAHABAD BANK, MAIN BRANCH, DANKINGANJ,MIRZAPUR,U.P,PIN-231001",MIRZAPUR,MIRZAPUR,UTTAR PRADESH,5442.0,8697704449,0,0,0,0,0,0.0
4,ALLAHABAD BANK,ALLA0213608,0,KPK LAKHIMPUR KHERI,"1ST FLOOR, RADHEY COMPLEX, KUTCHERY ROAD, LAKHIMPUR KHERI 262701",LAKHIMPUR KHERI,LAKHIMPUR KHERI,UTTAR PRADESH,5872.0,8709455970,0,0,0,0,0,0.0
5,ALLAHABAD BANK,ALLA0213603,0,KPK HYDERABAD,DOOR NO-1-1-258/20 1ST FLOOR STREET NO-2 CHIKKADAPALLY HYDERABAD PIN CODE 500020,HYDERABAD,HYDERABAD,TELANGANA,40.0,27669014,0,0,0,0,0,0.0
6,ALLAHABAD BANK,ALLA0213598,0,KISAN PRAGATI KENDRA DELHI NCR,"ZONAL OFFICE DELHI NCR, 2ND FLOOR,17,PARTIAMENT STREET,NEW DELHI,PIN-110001",DELHI,DELHI,DELHI,11.0,23348502,0,0,0,0,0,0.0
7,ALLAHABAD BANK,ALLA0213594,0,KPK CHANDIGARH,"SCO,49-50,SECTOR-17 B,3RD, FLOOR, CHANDIGARH",CHANDIGARH,CHANDIGARH,CHANDIGARH,172.0,9004571905,0,0,0,0,0,0.0
8,ALLAHABAD BANK,ALLA0213593,0,KPK BHUBANESWAR,"3/1 B, IRC VILLAGE, CIVIC CENTRE, NAYAPALLI, BHUBANESWAR, PIN-751015",KHURDHA,BHUBANESWAR,ODISHA,674.0,9935726669,0,0,0,0,0,0.0
9,ALLAHABAD BANK,ALLA0213580,0,CAPC BHUBANESWAR,"ALLAHABAD BANK ,CAPC BHUBANESWAR, GROUND FLOOR , PLOT NO 3/1B, IRC VILLAGE , NAYAPALLI, BHUBANESWAR , ODISHA - 751015",KHORDA,BHUBANESWAR,ODISHA,674.0,2362563,0,0,0,0,0,0.0
10,ALLAHABAD BANK,ALLA0213579,0,CAPC KOLKATA,"93 DESHPRAN SASMAL ROAD, KOLKATA",KOLKATA,KOLKATA,WEST BENGAL,33.0,24245568,0,0,0,0,0,0.0
11,ALLAHABAD BANK,ALLA0213578,0,CAPC NEW DELHI,"2ND FLOOR, ALLAHABAD BANK BULIDING, 17 PARLIAMENT STREET, NEW DELHI",NEW DELHI,NEW DELHI,DELHI,11.0,23346224,0,0,0,0,0,0.0
12,ALLAHABAD BANK,ALLA0213577,0,CAPC LUCKNOW,"ALLAHABAD BANK,HAZRATGANJ MAIN BRANCH BUILDING,1ST FLOOR, HAZRATGANJ,LUCKNOW,PIN-226001",LUCKNOW,LUCKNOW,UTTAR PRADESH,522.0,4114257,0,0,0,0,0,0.0
13,ALLAHABAD BANK,ALLA0213576,0,CAPC BHOPAL,"ALLAHABAD BANK,OFFICE COMPLEX, C BLOCK, 2ND FLOOR, GOUTAM NAGAR, BHOPAL, MADHYA PRADESH,PIN- 462023",BHOPAL,BHOPAL,MADHYA PRADESH,755.0,4923902,0,0,0,0,0,0.0
14,ALLAHABAD BANK,ALLA0213575,0,CAPC ALLAHABAD,"ALLAHABAD BANK,HAZRATGANJ MAIN BRANCH BUILDING,1ST FLOOR, HAZRATGANJ,LUCKNOW,PIN-226001",LUCKNOW,ALLAHABAD,UTTAR PRADESH,522.0,4322972,0,0,0,0,0,0.0
